Name,Length,EffectiveLength,TPM,NumReads,MGI symbol,Gene name
ENSMUSG00000062705,856,703.4,92697.051,1867449.31,Tpbpb,Tpbpb
ENSMUSG00000033834,1321,874.24,77031.719,1928753.69,Tpbpa,Tpbpa
ENSMUSG00000006490,942,733.74,40563.533,852423,Prl8a9,Prl8a9
ENSMUSG00000038891,878,797.28,34309.22,783428,Prl3b1,Prl3b1
ENSMUSG00000044258,745,645.09,27743.861,512581.17,Ctla2a,Ctla2a
ENSMUSG00000021345,872,652.62,20379.638,380923,Prl8a6,Prl8a6
ENSMUSG00000052305,622,496.77,20215.592,287620.36,Hbb-bs,Hbb-bs
ENSMUSG00000040713,915,778.89,14343.239,319963,Creg1,Creg1
ENSMUSG00000030368,1054,979.66,13740.034,385516,Ceacam11,Ceacam11
ENSMUSG00000030366,1062,967.88,13203.998,366020,Ceacam12,Ceacam12
ENSMUSG00000069258,870,719.59,12304.869,253594,Prl2b1,Prl2b1
ENSMUSG00000023185,1109,1030.73,11332.498,334541,Ceacam14,Ceacam14
ENSMUSG00000046899,1277,653.21,10522.064,196849,Prl7a2,Prl7a2
ENSMUSG00000021439,1356,1217.75,10392.989,362473,Ctsq,Ctsq
ENSMUSG00000021346,979,719.69,9644.274,198789,Prl8a8,Prl8a8
ENSMUSG00000055298,1396,1302.22,9296.449,346722,Ctsj,Ctsj
ENSMUSG00000049775,767,620.35,8218.285,146015,Tmsb4x,Tmsb4x
ENSMUSG00000066760,1670,1631.39,6485.826,303042.07,Psg16,Psg16
ENSMUSG00000093674,481,341.96,6438.379,63055.84,Rpl41,Rpl41
ENSMUSG00000074129,551,414.46,6015.704,71408.58,Rpl13a,Rpl13a
ENSMUSG00000025290,587,472.79,6015.671,81457.14,Rps24,Rps24
ENSMUSG00000057195,1001,918.28,5975.993,157168,Ceacam13,Ceacam13
ENSMUSG00000079523,567,422.37,5673.58,68632.39,Tmsb10,Tmsb10
ENSMUSG00000090733,345,215.15,4953.741,30524.68,Rps27,Rps27
ENSMUSG00000024608,597,468.79,4330.532,58143.72,Rps14,Rps14
ENSMUSG00000060126,909,714.58,4198.115,85917.39,Tpt1,Tpt1
ENSMUSG00000074870,1293,1179.44,3850.198,130058.68,Cts3,Cts3
ENSMUSG00000067038,494,366.24,3826.462,40136.19,Rps12-ps3,Rps12-ps3
ENSMUSG00000074359,2179,2204.82,3822.971,241408.71,Psg23,Psg23
ENSMUSG00000009927,545,423.57,3687.679,44736.27,Rps25,Rps25
ENSMUSG00000062006,488,360.31,3679.064,37966.06,Rpl34,Rpl34
ENSMUSG00000086583,998,925.14,3617.855,95860.39,Gm15500,Gm15500
ENSMUSG00000037742,1608,1519.07,3617.195,157372.63,Eef1a1,Eef1a1
ENSMUSG00000055360,846,673.19,3395.997,65475.82,Prl2c5,Prl2c5
ENSMUSG00000008668,555,432.01,3254.229,40264.61,Rps18,Rps18
ENSMUSG00000018259,929,743.98,3229.669,68817,Prl8a2,Prl8a2
ENSMUSG00000069917,554,408.43,3198.879,37419.11,Hba-a2,Hba-a2
ENSMUSG00000056457,842,651.77,3038.185,56713.38,Prl2c3,Prl2c3
ENSMUSG00000001025,521,393.84,2892.476,32626,S100a6,S100a6
ENSMUSG00000047215,739,642.56,2865.792,52739.78,Rpl9,Rpl9
ENSMUSG00000084319,519,379.48,2801.612,30449.33,Tpt1-ps3,Tpt1-ps3
ENSMUSG00000039001,397,255.51,2732.175,19993.83,Rps21,Rps21
ENSMUSG00000074871,1544,1241.19,2727.765,96967.2,Ctsm,Ctsm
ENSMUSG00000038580,516,354.09,2726.088,27646,Sct,Sct
ENSMUSG00000060636,494,371.19,2677.535,28464.77,Rpl35a,Rpl35a
ENSMUSG00000057841,521,405.03,2672.005,30995.85,Rpl32,Rpl32
ENSMUSG00000040952,590,453.92,2632.714,34226.78,Rps19,Rps19
ENSMUSG00000062328,775,673.11,2586.799,49868.91,Rpl17,Rpl17
ENSMUSG00000038274,534,383.12,2581.265,28323.73,Fau,Fau
ENSMUSG00000060938,527,411.76,2554.488,30125.21,Rpl26,Rpl26
ENSMUSG00000070796,2059,2022.8,2436.795,141172.92,Psg21,Psg21
ENSMUSG00000060419,441,311.54,2428.547,21669.05,Rps16-ps2,Rps16-ps2
ENSMUSG00000114432,1109,989.75,2259.263,64043.01,Gm49391,Gm49391
ENSMUSG00000073940,703,588.45,2226.655,37526.64,Hbb-bt,Hbb-bt
ENSMUSG00000063457,503,360.42,2185.968,22564.56,Rps15,Rps15
ENSMUSG00000050621,374,243.2,2177.74,15168.47,Rps27rt,Rps27rt
ENSMUSG00000038883,1316,1157.8,2174.172,72095,Prl3a1,Prl3a1
ENSMUSG00000101111,783,611.69,2164.581,37921.37,Gm28437,Gm28437
ENSMUSG00000017404,736,618.33,2050.106,36306,Rpl19,Rpl19
ENSMUSG00000057863,383,227.66,2023.54,13193.8,Rpl36,Rpl36
ENSMUSG00000067870,378,250.32,2010.62,14414.61,Rpl31-ps8,Rpl31-ps8
ENSMUSG00000009281,754,646.65,1982.542,36717,Rarres2,Rarres2
ENSMUSG00000008683,510,396.88,1957.445,22250.09,Rps15a,Rps15a
ENSMUSG00000100755,425,299.5,1901.432,16309.97,Rps23-ps1,Rps23-ps1
ENSMUSG00000069682,635,508.31,1896.97,27616.38,Gm10275,Gm10275
ENSMUSG00000007892,499,348.17,1890.175,18848.24,Rplp1,Rplp1
ENSMUSG00000057036,444,313.27,1869.832,16776.41,Gm7536,Gm7536
ENSMUSG00000029322,743,587.05,1866.543,31383,Plac8,Plac8
ENSMUSG00000020372,1119,1038.98,1860.929,55375,Rack1,Rack1
ENSMUSG00000030744,1123,1044.61,1835.015,54899.95,Rps3,Rps3
ENSMUSG00000020460,735,617.45,1834.016,32432.56,Rps27a,Rps27a
ENSMUSG00000021441,1356,1235.71,1815.649,64258,Cts6,Cts6
ENSMUSG00000061787,495,368.77,1780.22,18802.11,Rps17,Rps17
ENSMUSG00000062997,525,368.51,1778.556,18771.18,Rpl35,Rpl35
ENSMUSG00000047675,721,588.94,1735.139,29267.23,Rps8,Rps8
ENSMUSG00000037563,610,486.55,1720.871,23980.22,Rps16,Rps16
ENSMUSG00000005054,603,478.45,1686.42,23109,Cstb,Cstb
ENSMUSG00000025967,732,615.61,1683.086,29674.83,Eef1b2,Eef1b2
ENSMUSG00000078193,445,316.47,1673.297,15166.24,Gm2000,Gm2000
ENSMUSG00000102070,681,470.28,1574.087,21201.19,Gm28661,Gm28661
ENSMUSG00000100862,678,411.77,1558.723,18382.58,Gm10925,Gm10925
ENSMUSG00000052146,575,414.35,1508.53,17902.03,Rps10,Rps10
ENSMUSG00000068048,890,782.79,1492.851,33468.62,Rhox9,Rhox9
ENSMUSG00000071528,367,228.89,1485.699,9739.31,Atp5md,Atp5md
ENSMUSG00000090136,444,304.15,1481.588,12905.98,Gm10177,Gm10177
ENSMUSG00000082035,621,513.82,1450.064,21339.27,Rpl17-ps8,Rpl17-ps8
ENSMUSG00000069919,671,534.39,1439.957,22038.89,Hba-a1,Hba-a1
ENSMUSG00000071866,636,503.26,1365.901,19687.44,Ppia,Ppia
ENSMUSG00000079092,805,623.5,1354.823,24193.46,Prl2c2,Prl2c2
ENSMUSG00000062456,714,614.53,1353.125,23815.51,Rpl9-ps6,Rpl9-ps6
ENSMUSG00000067274,1197,1067.74,1343.409,41082.04,Rplp0,Rplp0
ENSMUSG00000075706,791,647.75,1333.371,24736.51,Gpx4,Gpx4
ENSMUSG00000064351,1545,1366,1324.804,51830.04,mt-Co1,mt-Co1
ENSMUSG00000040808,480,360.34,1307.522,13494,S100g,S100g
ENSMUSG00000003429,657,540.88,1307.246,20250.66,Rps11,Rps11
ENSMUSG00000055093,471,351.49,1282.147,12907.12,Rps27a-ps3,Rps27a-ps3
ENSMUSG00000063882,548,434.94,1271.599,15839.94,Uqcrh,Uqcrh
ENSMUSG00000068240,504,371.85,1268.583,13510.2,Gm11808,Gm11808
ENSMUSG00000006333,740,617.86,1261.317,22319.92,Rps9,Rps9
ENSMUSG00000115783,168,47.91,1249.96,1715,Bc1,Bc1
ENSMUSG00000020077,964,680.9,1229.623,23979,Srgn,Srgn
ENSMUSG00000030373,1949,1937.6,1223.817,67914.18,Psg28,Psg28
ENSMUSG00000064358,784,612.66,1176.033,20635.63,mt-Co3,mt-Co3
ENSMUSG00000061477,890,760.95,1173.539,25575.98,Rps7,Rps7
ENSMUSG00000035530,728,603.48,1164.133,20120.89,Eif1,Eif1
ENSMUSG00000058443,768,665.58,1162.407,22158.22,Rpl10-ps3,Rpl10-ps3
ENSMUSG00000064356,204,73.68,1142.097,2410,mt-Atp8,mt-Atp8
ENSMUSG00000057322,368,232.29,1137.369,7566.67,Rpl38,Rpl38
ENSMUSG00000034892,390,247.17,1123.996,7956.85,Rps29,Rps29
ENSMUSG00000046330,559,403.82,1111.049,12849.81,Rpl37a,Rpl37a
ENSMUSG00000050299,402,253.57,1094.566,7949.27,Gm9843,Gm9843
ENSMUSG00000002014,795,667.76,1080.634,20667,Ssr4,Ssr4
ENSMUSG00000095597,585,471.72,1067.96,14428.24,Rps7-ps3,Rps7-ps3
ENSMUSG00000039221,536,339.98,1063.177,10352.37,Rpl22l1,Rpl22l1
ENSMUSG00000090862,594,467.98,1059.443,14199.83,Rps13,Rps13
ENSMUSG00000006200,1010,921.37,1041.005,27470.38,Rhox6,Rhox6
ENSMUSG00000025351,1093,928.63,1040.089,27662.6,Cd63,Cd63
ENSMUSG00000028965,1786,1626.26,1016.583,47349,Tnfrsf9,Tnfrsf9
ENSMUSG00000016252,427,287.6,1006.681,8292,Atp5e,Atp5e
ENSMUSG00000073702,612,490.85,998.322,14034.66,Rpl31,Rpl31
ENSMUSG00000026385,563,449.46,979.271,12606,Dbi,Dbi
ENSMUSG00000001289,568,452.52,974.794,12633.69,Pfdn5,Pfdn5
ENSMUSG00000101249,492,344.64,971.062,9584.92,Gm29216,Gm29216
ENSMUSG00000036781,501,334.75,970.015,9299.95,Rps27l,Rps27l
ENSMUSG00000064339,1582,930.55,969.705,25844,mt-Rnr2,mt-Rnr2
ENSMUSG00000098274,660,554.8,961.082,15271.33,Rpl24,Rpl24
ENSMUSG00000028081,977,891.2,947.151,24175.39,Rps3a1,Rps3a1
ENSMUSG00000028936,479,357.53,943.328,9659.52,Rpl22,Rpl22
ENSMUSG00000063856,854,720.27,942.418,19441,Gpx1,Gpx1
ENSMUSG00000072940,210,78.39,942.056,2115.02,Gm10443,Gm10443
ENSMUSG00000012848,779,662.67,932.864,17705,Rps5,Rps5
ENSMUSG00000031818,735,604.78,924.299,16010,Cox4i1,Cox4i1
ENSMUSG00000061983,581,446.64,923.266,11810.4,Rps12,Rps12
ENSMUSG00000022886,884,780.22,918.074,20515,Prl2a1,Prl2a1
ENSMUSG00000090841,689,579.12,914.987,15176.09,Myl6,Myl6
ENSMUSG00000070797,1942,1944.95,906.491,50495.3,Psg27,Psg27
ENSMUSG00000041959,685,568.94,883.785,14401,S100a10,S100a10
ENSMUSG00000056054,486,349.02,879.351,8790,S100a8,S100a8
ENSMUSG00000068220,784,678.8,872.99,16972,Lgals1,Lgals1
ENSMUSG00000079641,609,463.35,868.45,11524.72,Rpl39,Rpl39
ENSMUSG00000064360,348,146,858.452,3589.61,mt-Nd3,mt-Nd3
ENSMUSG00000059291,753,635.46,857.057,15598.29,Rpl11,Rpl11
ENSMUSG00000025508,560,418.36,854.485,10238.4,Rplp2,Rplp2
ENSMUSG00000081049,402,275.82,853.657,6743.52,Rps24-ps3,Rps24-ps3
ENSMUSG00000021348,1066,756.75,845.269,18320.02,Prl7d1,Prl7d1
ENSMUSG00000064357,681,413.22,843.146,9978.42,mt-Atp6,mt-Atp6
ENSMUSG00000073616,441,312.51,839.843,7517,Cops9,Cops9
ENSMUSG00000024661,922,779.82,837.588,18706.99,Fth1,Fth1
ENSMUSG00000025130,2361,2273.4,837.278,54516,P4hb,P4hb
